hi
The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 6, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                           10                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                          100                        100                        100
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                     0.0005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                          100                        100                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            1                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                       0.4577                     0.1908                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

coordinates of the elements of a chain
 The velocities are taken from a Maxwellian distribution.
no of bonds: 9
 The initial temperature is: 145.562


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
            232          0.116        86.5362        17.8806        68.6556        137.459   -7.97192e-05              1
            233         0.1165        86.5573         18.723        67.8343        111.677   -6.19694e-05              1
            234          0.117        86.6503        19.4207        67.2296        76.9164   -3.83304e-05              1
            235         0.1175        86.8174        19.5138        67.3037        36.4446   -1.12872e-05              1
            236          0.118        87.0076        18.9231        68.0845       -5.87471    1.65319e-05              1
            237         0.1185        87.1331        18.0084        69.1247       -46.0329    4.26942e-05              1
            238          0.119        87.1584        17.3046        69.8538       -80.3215     6.5084e-05              1
            239         0.1195        87.2282        17.1033        70.1248       -105.821    8.19499e-05              1
            240           0.12        87.6007        17.2766        70.3241       -120.852    9.20861e-05              1
            241         0.1205         88.118        17.6138        70.5041       -125.152    9.51772e-05              1
            242          0.121         88.056        18.0384        70.0176       -119.711    9.18327e-05              1
            243         0.1215        87.9243        17.8878        70.0365       -106.444    8.28877e-05              1
            244          0.122        89.1127        16.8423        72.2703       -87.4996    6.95613e-05              1
            245         0.1225         88.367        16.4888        71.8783       -64.5507    5.40263e-05              1
            246          0.123        90.1782        15.6667        74.5115       -40.5041    3.74471e-05              1
            247         0.1235        88.4669        16.1437        72.3232       -17.1801    2.22158e-05              1
            248          0.124         91.064         16.146        74.9179        4.41809    7.81864e-06              1
            249         0.1245        89.1978        16.9734        72.2244         26.764   -6.52708e-06              1
            250          0.125        90.1712        16.7545        73.4167        47.8406   -2.07241e-05              1
            251         0.1255        89.3588        16.6801        72.6787        68.4253   -3.44968e-05              1
            252          0.126        90.3445        15.5967        74.7477        89.6125   -4.93438e-05              1
            253         0.1265        89.6953        15.1208        74.5745        112.219   -6.47323e-05              1
            254          0.127        89.8026        14.6751        75.1275        135.032   -8.02381e-05              1
            255         0.1275        90.2764        14.4516        75.8247        156.244    -9.4528e-05              1
            256          0.128        90.0509        14.9125        75.1385        173.868    -0.00010597              1
            257         0.1285        89.7406        15.5017        74.2389        185.699   -0.000113465              1
            258          0.129        89.8995        15.6396        74.2599        189.676   -0.000116025              1
            259         0.1295        90.1724        15.4215        74.7508         184.16   -0.000112492              1
            260           0.13        90.1626         15.246        74.9166        168.079   -0.000101888              1
            261         0.1305        89.9559        15.3595        74.5964        141.191   -8.38877e-05              1
            262          0.131        89.8294        15.7711        74.0583        104.373    -5.9068e-05              1
            263         0.1315        89.8765        16.3141        73.5624        59.7263   -2.89414e-05              1
            264          0.132        89.9877        16.7106        73.2771        10.3994    4.20746e-06              1
            265         0.1325         90.038        16.6973        73.3407       -39.8106    3.76719e-05              1
            266          0.133        89.9894        16.2354         73.754       -86.9042    6.87597e-05              1
            267         0.1335        89.8684        15.6157        74.2527       -127.085    9.51338e-05              1
            268          0.134         89.715        15.2886        74.4263       -157.143    0.000114954              1
            269         0.1345        89.5586        15.5089        74.0497       -174.813    0.000126881              1
            270          0.135        89.4192         16.099        73.3202       -179.006     0.00013007              1
            271         0.1355        89.3101         16.572        72.7381       -169.849    0.000124281              1
            272          0.136        89.2317        16.5404        72.6913       -148.577    0.000110078              1
            273         0.1365        89.1656        16.0706         73.095       -117.362    8.89553e-05              1
            274          0.137        89.0795        15.6635         73.416       -79.0646     6.3152e-05              1
            275         0.1375        88.9484        15.8468        73.1016       -36.8955    3.51616e-05              1
            276          0.138         88.777        16.7033        72.0737        5.96814    7.15679e-06              1
            277         0.1385        88.6023        17.7367        70.8656        46.7371   -1.93335e-05              1
            278          0.139        88.4726        18.2164        70.2562        83.2301   -4.33424e-05              1
            279         0.1395        88.4152        17.7426        70.6726        113.925   -6.41215e-05              1
