hi
The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 6, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                           10                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                          100                        100                        100
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                     0.0005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                          100                        100                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            1                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                       0.4577                     0.1908                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

coordinates of the elements of a chain
 The velocities are taken from a Maxwellian distribution.
no of bonds: 9
 The initial temperature is: 145.562


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
            271         0.1355        715.053        649.511        65.5421      0.0573625    0.000432969              1
            272          0.136        714.971        649.986        64.9851      0.0560574    0.000433286              1
            273         0.1365        714.887        650.474        64.4127      0.0548014    0.000433613              1
            274          0.137        714.803        650.974        63.8286      0.0535919    0.000433947              1
            275         0.1375        714.718        651.482        63.2363       0.052426    0.000434286              1
            276          0.138        714.632        651.993        62.6395      0.0513024    0.000434628              1
            277         0.1385        714.546        652.504         62.042      0.0502183    0.000434969              1
            278          0.139         714.46        653.013        61.4473      0.0491716    0.000435309              1
            279         0.1395        714.373        653.514        60.8591      0.0481601    0.000435644              1
            280           0.14        714.286        654.006        60.2808      0.0471818    0.000435972              1
            281         0.1405        714.199        654.483        59.7161      0.0462349    0.000436291              1
            282          0.141        714.113        654.945         59.168      0.0453173    0.000436599              1
            283         0.1415        714.026        655.386        58.6398      0.0444275    0.000436894              1
            284          0.142        713.939        655.805        58.1344      0.0435637    0.000437174              1
            285         0.1425        713.852        656.198        57.6546      0.0427244    0.000437437              1
            286          0.143        713.766        656.563        57.2027       0.041908    0.000437681              1
            287         0.1435         713.68        656.899        56.7812      0.0411131    0.000437905              1
            288          0.144        713.595        657.203         56.392      0.0403384    0.000438108              1
            289         0.1445         713.51        657.473        56.0368      0.0395827    0.000438289              1
            290          0.145        713.425        657.708        55.7172      0.0388447    0.000438446              1
            291         0.1455        713.341        657.907        55.4342      0.0381234    0.000438579              1
            292          0.146        713.258        658.069        55.1888      0.0374177    0.000438688              1
            293         0.1465        713.175        658.194        54.9816      0.0367268    0.000438771              1
            294          0.147        713.093        658.281        54.8128      0.0360496     0.00043883              1
            295         0.1475        713.012         658.33        54.6823      0.0353855    0.000438863              1
            296          0.148        712.932        658.342          54.59      0.0347337    0.000438871              1
            297         0.1485        712.852        658.317        54.5352       0.034093    0.000438855              1
            298          0.149        712.773        658.256         54.517      0.0334639    0.000438815              1
            299         0.1495        712.695        658.161        54.5343      0.0328453    0.000438752              1
            300           0.15        712.618        658.032        54.5856      0.0322366    0.000438667              1


   Total mass                       :                 10
   Coordinates of the center of mass:            50.3446        49.9751        50.1165
   Velocity of the center of mass   :          -0.347136      -0.166299       0.362501
   Translational kinetic energy     :            1.39783


           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

            301         0.1505        712.542        657.872        54.6694      0.0316375    0.000438561              1
            302          0.151        712.467        657.683        54.7838      0.0310476    0.000438434              1
            303         0.1515        712.392        657.465        54.9268      0.0304665     0.00043829              1
            304          0.152        712.319        657.223         55.096      0.0298939    0.000438129              1
