hi
The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 6, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                           10                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                     0.0005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                          100                        100                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            1                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                       0.4577                     0.1908                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

coordinates of the elements of a chain
 The velocities are taken from a Maxwellian distribution.
no of bonds: 9
 The initial temperature is: 145.562


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
            109         0.0545         717.95        631.096        86.8541        1.41442       0.369341              1
            110          0.055        717.985        631.761        86.2244        1.38597       0.369748              1
            111         0.0555        718.033        632.639        85.3944        1.36004       0.370278              1
            112          0.056        718.093        633.698        84.3945        1.33638       0.370913              1
            113         0.0565        718.164        634.904          83.26        1.31479       0.371633              1
            114          0.057        718.246        636.216        82.0298        1.29505       0.372414              1
            115         0.0575        718.339        637.594        80.7451        1.27695       0.373233              1
            116          0.058        718.442        638.994        79.4483        1.26029       0.374064              1
            117         0.0585        718.555        640.374        78.1813        1.24487       0.374882              1
            118          0.059        718.677        641.693        76.9841        1.23051       0.375665              1
            119         0.0595        718.808        642.914        75.8938        1.21704       0.376389              1
            120           0.06        718.947        644.004        74.9433        1.20429       0.377035              1
            121         0.0605        719.093        644.933        74.1603        1.19209       0.377587              1
            122          0.061        719.246        645.679        73.5664        1.18031       0.378032              1
            123         0.0615        719.403        646.227        73.1762        1.16881        0.37836              1
            124          0.062        719.565        646.568        72.9975        1.15746       0.378567              1
            125         0.0625         719.73        646.699        73.0305        1.14615        0.37865              1
            126          0.063        719.896        646.627        73.2685        1.13477       0.378615              1
            127         0.0635        720.062        646.365        73.6978        1.12323       0.378468              1
            128          0.064        720.227        645.929        74.2983        1.11145       0.378219              1
            129         0.0645         720.39        645.344         75.045        1.09936       0.377883              1
            130          0.065        720.547        644.639        75.9083        1.08689       0.377477              1
            131         0.0655        720.699        643.844        76.8554          1.074       0.377018              1
            132          0.066        720.844        642.992        77.8519        1.06064       0.376526              1
            133         0.0665        720.979        642.117        78.8624         1.0468       0.376021              1
            134          0.067        721.105        641.253        79.8526        1.03245       0.375522              1
            135         0.0675         721.22         640.43        80.7899        1.01757       0.375049              1
            136          0.068        721.322        639.678        81.6447        1.00217       0.374616              1
            137         0.0685        721.412        639.021        82.3914       0.986245       0.374241              1
            138          0.069        721.489         638.48        83.0088       0.969813       0.373933              1
            139         0.0695        721.552         638.07        83.4813       0.952889       0.373703              1
            140           0.07        721.601        637.802        83.7984       0.935495       0.373555              1
            141         0.0705        721.636         637.68        83.9554       0.917657       0.373494              1
            142          0.071        721.657        637.704         83.953       0.899407       0.373519              1
            143         0.0715        721.665        637.869        83.7969       0.880781       0.373626              1
            144          0.072        721.661        638.163        83.4975       0.861818        0.37381              1
            145         0.0725        721.644        638.574        83.0691        0.84256       0.374063              1
            146          0.073        721.615        639.085        82.5295       0.823055       0.374374              1
            147         0.0735        721.575        639.677        81.8985       0.803351       0.374732              1
            148          0.074        721.525        640.327        81.1978       0.783501       0.375126              1
